"Date","City","State","AreaType","School","Fatalities","Wounded","lat","lng"
"1/17/01","Baltimore","Maryland","urban","HS",1,2,39.3051,-76.6144
"1/29/01","Arlington","Texas","urban","MS",1,2,32.6998,-97.125
"3/2/01","San Diego","California","urban","HS",0,0,32.8312,-117.1225
"3/5/01","Santee","California","suburban","HS",2,13,32.8554,-116.9851
"3/7/01","Williamsport","Pennsylvania","suburban","HS",0,1,41.2398,-77.0371
"3/22/01","El Cajon","California","urban","HS",0,5,32.8017,-116.9605
"3/30/01","Gary","Indiana","urban","HS",1,0,41.5906,-87.3472
"4/3/01","Klein","Texas","urban","MS",0,0,30.039367, -95.524892
"4/25/01","Cleveland","Ohio","urban","HS",1,2,41.4767,-81.6804
"5/15/01","Ennis","Texas","suburban","HS",0,0,32.3255,-96.635
"5/16/01","Parkland","Washington","suburban","C",2,0,47.1417,-122.4376
"5/17/01","Pierce County","Washington","urban","C",1,2,47.168029, -122.572284
"10/12/01","Taylorsville","Utah","urban","HS",0,0,40.657,-111.9493
"11/12/01","Caro","Michigan","suburban","HS",0,0,43.489,-83.4025
"1/15/02","Bronx","New York","urban","HS",0,2,40.8501,-73.8662
"1/16/02","Grundy","Virginia","suburban","C",3,3,37.2754,-82.0988
"2/20/02","Milwaukee","Wisconsin","urban","HS",1,0,43.0642,-87.9673
"6/11/02","Conception","Missouri","suburban","HS",3,2,40.2411,-94.6805
"7/26/02","Charlotte","North Carolina","urban","MS",1,2,35.208,-80.8304
"10/4/02","San Antonio","Texas","urban","MS",1,2,29.4658,-98.5253
"10/7/02","Bowie","Maryland","suburban","MS",0,1,38.9569,-76.7409
"10/28/02","Tucson","Arizona","urban","C",4,0,32.1545,-110.8782
"10/29/02","Jersey City","New Jersey","urban","HS",0,1,40.7161,-74.0682
"11/7/02","Liberty","Missouri","suburban","ES",1,2,39.2394,-94.4191
"12/16/02","Chicago","Illinois","urban","HS",1,2,41.8373,-87.6862
"3/23/03","Meridian","Mississippi","suburban","HS",0,0,32.3846,-88.6896
"4/10/03","Walnut","California","suburban","HS",0,0,34.0334,-117.8593
"4/14/03","New Orleans","Louisiana","urban","HS",1,3,30.0687,-89.9288
"4/17/03","Addison","Texas","suburban","ES",1,2,32.959,-96.8355
"4/24/03","Red Lion","Pennsylvania","suburban","HS",2,0,39.8986,-76.6078
"5/9/03","Cleveland","Ohio","urban","C",1,2,41.4767,-81.6804
"5/13/03","Johnstown","Pennsylvania","urban","HS",1,2,40.3258,-78.9193
"6/4/03","Wellsboro","Pennsylvania","suburban","MS",0,0,41.7459,-77.3031
"7/15/03","Dallas","Texas","urban","HS",0,0,32.7936,-96.7662
"9/24/03","Cold Spring","Minnesota","suburban","HS",2,0,45.4572,-94.4296
"10/30/03","Washington","District Of Columbia","urban","HS",1,2,38.9047,-77.0163
"11/7/03","Sugar Land","Texas","urban","HS",1,2,29.5935,-95.6357
"1/21/04","Henderson","Nevada","urban","ES",1,2,36.0133,-115.038
"2/2/04","Washington","District of Columbia","urban","HS",1,0,38.9047,-77.0163
"2/9/04","East Greenbush","New York","suburban","HS",0,1,42.589582, -73.710832
"2/11/04","Philadelphia","Pennsylvania","urban","ES",1,2,40.0077,-75.1339
"3/17/04","Joyce","Washington","suburban","MS",0,0,48.135700, -123.740113
"5/7/04","Randallstown","Maryland","suburban","HS",0,4,39.3723,-76.8024
"5/24/04","Salt Lake City","Utah","urban","HS",1,2,40.7777,-111.9306
"6/1/04","St Croix","Virgin Islands","urban","HS",1,2,NA,NA
"8/30/04","Maywood","Illinois","suburban","HS",1,2,41.8798,-87.8442
"10/4/04","Memphis","Tennessee","urban","HS",0,0,35.1046,-89.9773
"11/22/04","Philadelphia","Pennsylvania","urban","HS",1,2,40.0077,-75.1339
"12/10/04","Nine Mile Falls","Washington","suburban","HS",1,2,47.771899, -117.534865
"1/6/05","Philadelphia","Pennsylvania","urban","HS",1,2,40.0077,-75.1339
"2/8/05","Chicago","Illinois","urban","HS",0,1,41.8373,-87.6862
"3/2/05","Dover","Tennessee","suburban","HS",1,0,36.4818,-87.8438
"3/21/05","Red Lake","Minnesota","suburban","HS",10,7,47.8707,-95.0052
"5/17/05","Lower Allen Township","Pennsylvania","suburban","ES",1,2,40.228165, -76.903890
"9/13/05","Chicago","Illinois","urban","HS",0,1,41.8373,-87.6862
"11/8/05","Jacksboro","Tennessee","suburban","HS",1,2,36.3352,-84.1928
"1/13/06","Birmingham","Alabama","urban","HS",1,2,33.5277,-86.7987
"1/13/06","Longwood","Florida","suburban","MS",0,1,28.7014,-81.3487
"2/23/06","Roseburg","Oregon","suburban","HS",0,1,43.2232,-123.3518
"3/14/06","Reno","Nevada","urban","MS",0,2,39.5497,-119.8483
"6/5/06","Venice","California","suburban","HS",1,2,33.993333, -118.463259
"8/24/06","Essex Junction","Vermont","suburban","ES",2,3,44.4902,-73.114
"8/30/06","Hillsborough","North Carolina","suburban","HS",0,2,36.0681,-79.0994
